dir,entry_idx,exit_idx,entry,exit,pnl,balance
LONG,1290,1293,70900.0,71041.8,113.37819189273816,7639.148767828121
SHORT,1374,1377,71124.93,70982.68014,114.6636230050961,7715.616646994076
SHORT,1407,1418,71133.93,71233.517502,-146.65072560942662,7530.38783814968
SHORT,1435,1436,70916.48,71015.763072,-143.13008163971693,7349.605817319214
SHORT,1485,1489,71119.18,70976.94163999999,110.31758331796453,7423.175371550583
LONG,1527,1534,70920.27,71062.11054000001,111.27339881954813,7497.332893512378
SHORT,1559,1572,70969.99,71069.34798600001,-142.50180630699262,7317.344422737823
SHORT,1637,1638,71064.38,70922.25124,109.8333397853018,7390.591040409436
LONG,1658,1662,70895.98,71037.77196,110.78495969573981,7464.423044903128
SHORT,1728,1751,70799.06,70898.178684,-141.87628881447475,7285.224640864138
SHORT,1757,1768,70781.32,70880.41384800001,-138.47026474890885,7110.328252910908
SHORT,1815,1825,71204.26,71061.85148,106.72602707618996,7181.502638722543
SHORT,1910,1912,71273.54,71130.99291999999,107.79435460722934,7253.38948013616
LONG,1964,1967,69337.69,69240.617234,-137.7636263962235,7079.3589063392565
LONG,1977,1982,69202.92,69341.32584,106.11959000603233,7150.081701813592
LONG,2036,2074,69415.59,69318.408174,-135.80150176254557,6978.529791541979
LONG,2094,2107,69406.0,69544.812,104.60816157521964,7048.245304159489
SHORT,2213,2223,69368.0,69465.1152,-133.96599849615959,6879.038079142531
SHORT,2263,2311,69368.0,69229.264,103.25436156793378,6947.897250314753
LONG,2351,2388,69275.02,69413.57004,104.14897978222005,7017.306743845399
SHORT,2434,2454,69343.01,69440.090214,-133.37794928027094,6848.842260845901
LONG,2613,2637,69675.36,69577.814496,-130.08006106024055,6684.517988481431
LONG,2694,2701,69464.79,69367.539294,-126.95905015521977,6524.136348383803
LONG,2724,2730,69439.99,69342.77401400001,-123.91292166484945,6367.6027449770345
SHORT,2740,2741,69414.92,69512.100888,-121.02902537378088,6214.735705878368
LONG,2768,2774,69587.51,69726.68501999999,93.1588882311124,6276.820915580089
SHORT,2798,2805,69879.99,69977.82198600001,-119.30353514243495,6126.133275859753
LONG,2848,2856,69620.0,69522.532,-116.35364930839854,5979.148960172056
LONG,2882,2887,69530.0,69432.658,-113.56197620055146,5835.691239170644
LONG,2929,2930,68258.16,68162.598576,-110.83728370556763,5695.675499269223
LONG,3036,3037,67020.0,66926.172,-108.1779647576153,5559.019157015262
LONG,3097,3098,66800.58,66707.059188,-105.58245084919292,5425.6416103809925
SHORT,3162,3174,67364.5,67229.771,81.43888057182404,5479.952282900912
SHORT,3358,3359,69616.0,69713.4624,-104.15745304110078,5348.395068445307
SHORT,3366,3367,69331.11,69428.17355400001,-101.65694506594579,5219.996148037135
LONG,3520,3529,67563.99,67469.400414,-99.14338683967074,5094.752780457278
LONG,3546,3557,67688.56,67593.79601600001,-96.76463955921768,4972.514376995775
LONG,3587,3590,67844.43,67749.447798,-94.44296556228021,4853.208839548516
SHORT,3611,3612,67603.99,67698.635586,-92.24494041329774,4736.697854937476
LONG,3618,3619,68033.26,68169.32651999999,71.00310084550793,4784.017466508297
SHORT,3624,3626,67590.0,67454.82,71.80810217228459,4831.90548134804
LONG,3661,3662,67058.16,66964.27857600001,-91.77238080723752,4715.973573134062
LONG,3670,3672,66848.0,66754.4128,-89.57048607453135,4602.8232191938605
SHORT,3681,3687,66826.64,66692.98672,69.0883765200989,4648.89747961799
SHORT,3735,3736,66729.34,66822.761076,-88.36159439509825,4537.291397824802
LONG,3769,3770,66813.18,66719.641548,-86.176775518882,4428.4281653167955
SHORT,3789,3810,66763.46,66856.92884400001,-84.17113413817813,4322.114890352033
SHORT,3835,3838,66960.0,67053.744,-82.15043772092501,4218.353878179349
SHORT,3861,3877,66932.99,66799.12402,63.317491711473465,4260.579600499926
LONG,3882,3889,67062.41,66968.522626,-80.92118835229387,4158.3555141451325
LONG,3979,3980,65562.56,65470.772416,-78.97964628015716,4058.5840902942496
SHORT,4023,4024,65918.04,66010.325256,-77.14150780422456,3961.1496620385537
SHORT,4114,4143,66185.33,66277.98946200001,-75.2895716263731,3866.054342101988
LONG,4153,4178,66219.58,66352.01916,57.952154588105564,3904.676224979584
SHORT,4185,4187,66237.62,66330.352668,-74.2161810081937,3810.9366628464923
SHORT,4198,4214,66248.0,66340.7472,-72.43447315072211,3719.4475063815376
LONG,4269,4275,66184.35,66091.69191000001,-70.64346648870296,3630.206802360927
LONG,4308,4333,66199.99,66107.310014,-68.94851779724264,3543.1072505518796
LONG,4358,4372,66153.8,66061.18468,-67.29423600973033,3458.09747828939
LONG,4378,4402,66167.94,66300.27588,51.83688119955728,3492.6438720975007
SHORT,4428,4433,66272.51,66365.291514,-66.38468207695828,3408.795970660055
LONG,4543,4555,66647.35,66554.04371000001,-64.74326187074293,3327.0087289360117
LONG,4808,4810,65960.0,65867.656,-63.18987678868032,3247.183808502651
SHORT,4848,4849,66691.99,66558.60602,48.740228965624155,3279.6881184257622
LONG,4866,4867,66579.37,66712.52874,49.162524895201656,3312.4522027288353
SHORT,5007,5008,65712.0,65580.576,49.71990756295935,3345.6098492781503
SHORT,5078,5079,64502.11,64373.10578,50.21760383766635,3379.099403869426
SHORT,5120,5122,64807.57,64677.95486,50.720282052080975,3412.92418890216
LONG,5148,5149,64936.5,64845.5889,-64.82166911981744,3331.0378988378316
SHORT,5176,5186,65186.0,65055.628,49.99887886155739,3364.3815882052
SHORT,5255,5264,65500.0,65591.70000000001,-63.94680084702221,3283.612879417152
LONG,5306,5307,65250.0,65158.65,-62.365659418769226,3204.829155601297
LONG,5314,5315,65253.23,65383.73646,48.04038904246191,3236.845398865752
LONG,5341,5348,65169.99,65078.752014,-61.47740466065728,3159.1837672107663
LONG,5391,5392,65116.51,65246.74302,47.35616467048923,3190.744013045202
SHORT,5409,5413,65065.2,64935.069599999995,47.89306763580937,3222.683360615785
LONG,5439,5458,64989.89,64898.904154,-61.2084250681736,3145.3615187445325
SHORT,5507,5508,65129.17,65220.350838000006,-59.78388638678096,3069.850824764029
SHORT,5577,5585,65699.99,65568.59002,46.078460879708985,3100.5800315199176
SHORT,5622,5628,66046.0,65913.908,46.53970627311593,3131.616837635434
LONG,5689,5690,65049.29,64958.220994,-59.478798597208794,3056.4799548500478
LONG,5780,5784,64930.01,65059.87002,45.816634523202254,3087.0141895989996
SHORT,5855,5857,64326.01,64197.35798,46.33608298588163,3117.915201636886
LONG,5934,5935,64028.74,64156.79748,46.73754887253845,3149.06317450124
SHORT,5949,5950,63499.56,63588.459384,-59.854243757747014,3073.463614870987
LONG,5980,5981,63912.0,63822.5232,-58.37429443724308,2999.722002359389
SHORT,6016,6017,64009.86,63881.840280000004,45.025827255412835,3029.749219603005
SHORT,6137,6140,64392.8,64482.94992000001,-57.58644341699595,2957.014030087994
LONG,6173,6342,64308.43,64437.04686,44.32564031101991,2986.554600248574
SHORT,6363,6465,64434.52,64305.65096,44.82818454973006,3016.450011797061
SHORT,6499,6514,64327.98,64199.32404,45.27691467707561,3046.6446764151515
LONG,6563,6581,64090.01,64000.283986,-57.8649223391529,2973.5465306939227
LONG,6718,6719,62562.9,62475.31194000001,-56.4765692574671,2902.202228782986
LONG,6773,6774,61457.51,61371.469486,-55.12152693127537,2832.569690707796
LONG,6781,6783,61087.01,61001.488186,-53.79899613561304,2764.607846118644
LONG,6881,6882,59816.0,59935.632,41.441471613317454,2792.226278501368
SHORT,6983,6988,61004.0,61089.405600000006,-53.07184487547802,2725.1933022333833
LONG,7022,7026,60929.88,61051.73976,40.85064760047813,2752.4179833226945
LONG,7135,7137,61941.82,62065.70364,41.2587455700072,2779.914638976088
SHORT,7168,7171,61863.99,61950.599586000004,-52.83783754302118,2713.1772282381867
LONG,7207,7208,61772.01,61685.52918600001,-51.53137509592568,2648.07996700107
LONG,7289,7290,61748.12,61661.67263200001,-50.29498281324864,2584.544584352816
LONG,7345,7346,61534.01,61447.86238600001,-49.08825529061053,2522.5336061404414
SHORT,7353,7354,61358.91,61444.812474000006,-47.9457962519123,2461.975141857827
SHORT,7383,7384,61280.69,61366.482966,-46.794761521292074,2402.870504627246
SHORT,7474,7478,60870.01,60955.22801400001,-45.67135968145224,2345.184792422658
SHORT,7554,7559,60945.63,60823.73874,35.201223734262825,2368.6600921948075
LONG,7696,7697,61822.02,61945.664039999996,35.50621478199987,2392.323006515833
LONG,7755,7770,61581.35,61704.5127,35.86092186767264,2416.2223133509265
LONG,7986,7987,60980.01,60894.637986,-45.89131039747434,2358.2498913866975
LONG,8041,8043,60401.99,60317.427214,-44.79024018710559,2301.6684017426583
SHORT,8176,8190,60910.01,60995.284014000004,-43.7478113119236,2246.412248422021
SHORT,8220,8227,61045.43,61130.893602000004,-42.69755760575862,2192.4826295741527
SHORT,8327,8337,61042.99,60920.904019999994,32.90916426990928,2214.429380696191
LONG,8361,8366,61058.21,60972.728506,-42.05865722756263,2161.2985765651474
LONG,8405,8414,60837.14,60751.968004,-41.04954386470089,2109.442539817621
SHORT,8456,8461,61531.91,61618.054674000006,-40.0941743543145,2058.8011527642184
SHORT,8482,8485,61543.05,61629.21027000001,-39.13163351059204,2009.3755134898051
SHORT,8551,8559,61636.01,61722.300414000005,-38.19220038490163,1961.1364355374546
LONG,8622,8623,62942.56,62854.440416,-37.24786432016289,1914.0828890396044
